"Project","Province","District","Municipality","Capacity (MW)","River","Lic No","Isuue Date","Validity","Promoter","Address","Longitude","Latitude","License Type"
"Lower Mid Rawa Khola HEP","Province 1","KHOTANG","Kepilasagadhi","3.64","Rawa","997","12/29/2074","12/28/2076","Lokraj Sharma, Shambhu Prasad Ghimire, Satya Narayan Prajapati","Bhaktapur","86.80013889","27.34166667","Survey"
"Lower Midim Khola SHP","Province 4","LAMJUNG","Sundarbazar","0.996","Midim Khola","0","7/19/2071","0/1/0","Tallo Midim Jalbidhyut Company Pvt. Ltd.","Tirlingtar-7, Kathmandu, Tel: 4386514","84.27138889","28.17402778","Generation"
"Lower Modi Khola","Province 4","PARBAT","Modi","20.0","Modi Khola","38","5/21/2067","5/20/2102","Modi Energy Pvt . Ltd","Naxal Sanogaucharan, Tel: 4441131, Fax: 4441973","83.72680556","28.25361111","Generation"
"Lower Modi-II Cascade HPP","Province 4","PARBAT","Kushma","10.5","Modi Khola","195","2/9/2074","2/8/2109","United Modi Hydropower Pvt Ltd","BYS Complex, Kathmandu, Tel: 4350147 Fax: 4350379, email: unitedmodi@ntc.nt.np","83.68791667","28.21027778","Generation"
"Lower Nyadi HPP","Province 4","LAMJUNG","Marsyangdi","10.5","Nyadi","855","3/15/2074","3/14/2076","Hub Power Pvt. Ltd","Ka. Ma. Na. Pa-1, Kathmandu","84.4125","28.31875","Survey"
"Lower Piluwa","Province 1","SANKHUWASABHA","Dharmadevi","0.99","Piluwa Khola","0","1/3/2065","0/1/0","Baneshwor Hydropower P Ltd.","Baneswor VDC, Sankhuwasabha, Phone 4230887, Fax:4238059","87.31486111","27.26458333","Operation"
"Lower Rukumgad HEP","Province 5","RUKUM_E","Putha Uttarganga","5.25","Rukum gad","972","9/20/2074","9/19/2076","Kasuwa Khola Hydropower Ltd.","Tripureshwor-11, Kathmandu, 01-4251080, 9852680194","82.63263889","28.62361111","Survey"
"Lower Rupse Khola HEP","Province 4","MUSTANG","Thasang","2.5","Rupse","990","12/13/2074","12/12/2076","Gulmi Hydro Pvt. Ltd","Anamnagar, Kathmandu","83.64361111","28.54944444","Survey"
"Lower Selang Khola","Province 3","SINDHUPALCHOK","Jugal","1.475","Selang","208","6/29/2074","6/28/2109","Sewa Hydrolink Company","Tangal, Kathmandu : 4410160","85.74194444","27.85944444","Generation"
"Lower Seti (Tanahu) HEP","Province 4","TANAHU","Devghat","92.0","Seti","930","7/13/2074","7/12/2076","Tanahu Hydropower Limited","Trade Tower 4th Floor,Thapathali, KTM, Ph- 01-5111117/8/9","84.385","27.85416667","Survey"
"Lower Solu Hydropower Project","Province 1","SOLUKHUMBU","Dudhkoshi","82.0","Solu Khola","118","12/5/2070","12/4/2105","Essel Clean Solu Hydropower Pvt Ltd","R R Bhavan, Narayanchaur, Kathmandu, Tel; 4261827, Fax: 4260266","86.60069444","27.42916667","Generation"
"Lower Tadi","Province 3","NUWAKOT","Tadi","4.993","Tadi Khola","88","12/27/2069","12/26/2104","Buddha Bhumi Nepal Hydropower Co. Pvt. ltd.","Kantipath Kathmandu, Phone 01-4248228, Fax 01-4244474","85.36638889","27.92291667","Generation"
"Lower Tawakhola HEP","Province 1","TAPLEJUNG","Sidingba","8.0","Tawa Khola","982","11/11/2074","11/10/2076","Kabeli Hydropower Company Pvt. Ltd","Baagbazaar, Kathmandu, Mohan Kumari Dangi: 9851030667, 01-4240661","87.87569444","27.36291667","Survey"
"Lower Thulo Khola Hydropower Project","Province 4","MUSTANG","Thasang","4.75","Thulo Khola","858","3/15/2074","3/14/2076","Chitwan Energy Limited","Kupondole Lalitpur, Ph. No. 9851166725 (Subhash Chandra Baral)","83.51541667","28.53555556","Survey"
"Ludee Khola SHP","Province 4","GORKHA","Sulikot","0.75","Ludi","0","3/17/2073","0/1/0","Ludi Hydropower Development Company Pvt Ltd","GPO Box:6709, Kathmandu Tel 9841357478","84.60222222","27.95319444","Generation"
"Luja Khola HPP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","24.8","Luja Khola","943","7/28/2074","7/27/2076","Ma Shakti Engineering and Hydropower Pvt.Ltd.","Gatthaghar, Bhaktapur, Phone no. 6635391","86.69166667","27.67361111","Survey"
"Lung Khola HPP","Province 5","PYUTHAN","Gaumukhi","2.42","Lung Khola","914","6/30/2074","6/29/2076","Gaumukhi Nubaini Hydro Pvt. Ltd.","Puyathan, Phone no 9857833632","82.91513889","28.21013889","Survey"
"Machhapuchhre Modi HEP","Province 4","KASKI","Machhapuchchhre","24.6","Modi","1019","3/6/2075","3/5/2077","Annapurna Energy Company Pvt. Ltd","Kathmandu.","83.90208333","28.50208333","Survey"
"Machhe Khola HPP","Province 4","GORKHA","Dharche","18.0","Machha Khola","801","12/29/2073","12/28/2075","Water Energy Development Pvt. Ltd.","Baluwatar 4, Ktm. ph. no. 4430050","84.85083333","28.22347222","Survey"
"Madhya Bhotekoshi","Province 3","SINDHUPALCHOK","Bhotekoshi","102.0","Bhote koshi","108","8/18/2070","8/17/2105","Madhya Bhotekoshi Jalbidyut Company Ltd.","Maharajganj Kathmandu, P.O.Box. 23599, Phone 01-4721641, 4721642, Fax 01-4721643","85.88777778","27.85111111","Generation"
"Madhya Marsyangdi","Province 4","LAMJUNG","Besishahar","70.0","Marsyangdi","8","3/12/2057","1/31/2106","Nepal Electricity Authority","0","84.42625","28.16805556","Operation"
"Madi-Bhorletar","Province 4","LAMJUNG","Besishahar","10.0","Madi Khola","171","6/10/2073","6/9/2108","Kalash Hydropower P. Ltd","Baluwatar, Kathmandu, Phone no 4444797, 9851138808","84.2225","28.14875","Generation"
"Madkyu Khola","Province 4","KASKI","Madi","13.0","Madkyu","116","11/21/2070","11/20/2105","Silkes Hydropower Pvt.Ltd","P.O.Box. 170, Lekhnath Nagar Palika - 3, Kaski, Phone 061-560236, Fax 061-532466","84.13555556","28.36805556","Operation"
"Madme Khola HPP","Province 4","KASKI","Madi","24.0","Madme Khola","873","4/15/2074","4/14/2076","Madme Khola Hydropower P.Ltd.","Mid Banesor, Kathmandu-34, Kathmandu Somnath Kandel: 9851201536","84.13555556","28.43194444","Survey"
"Madya Super Daraundi HPP","Province 4","GORKHA","Dharche","10.0","Daraundi","892","5/16/2074","5/15/2076","Barpak Daraundi Hydropower Company Pvt. Ltd.","Kathmandu 9, Phone no 9841439188","84.72555556","28.20555556","Survey"
"Mai","Province 1","ILAM","Illam","22.0","Mai Khola","37","5/13/2067","5/12/2102","Sanima Mai Hydropower Limited","GPO 19737, Ph: 44445952, 444642 Fax:4425953","87.89166667","26.81125","Operation"
"Mai Beni HPP","Province 1","ILAM","Suryodaya","9.51","Mai Khola","228","1/6/2075","1/5/2110","Samling Power company Pvt.Ltd","Baneshwor 10, Kathmandu, Phone no 9851018025, 5539135, 5525228","87.95111111","26.90694444","Generation"
"Mai Cascade","Province 1","ILAM","Illam","7.0","Mai Khola","72","7/15/2069","7/14/2104","Sanima Mai Hydropower Limited","Narananchaur, Naksal Kathmandu, P. O. Box 19737, Phone 01-4446442, Fax 01-4441277","87.87652778","26.77555556","Operation"
"Mai Cascade HPP","Province 1","ILAM","Maijogmai","8.0","Mai Khola","101","4/15/2070","4/14/2105","Himal Dolkha Hydropower Company Pvt Ltd","Baneswar, Kathmandu Tel: 9851085922,2043191","87.92416667","26.86194444","Operation"
"Mai Khola","Province 1","ILAM","Maijogmai","4.5","Mai Khola","23","8/20/2064","8/19/2099","Himal Dolkha Hydropower Co Ltd","0","87.93680556","26.885","Operation"
"Mai Third HPP","Province 1","ILAM","Rong","4.82","Mai Khola","882","4/23/2074","4/22/2076","East Construction and Engineering Consultancy Pvt. Ltd.","Kalopul-7, Ktm.","87.90625","26.84027778","Survey"
"Mailung Khola","Province 3","RASUWA","Gosaikunda","5.0","Mailung Khola","13","12/3/2060","12/30/2094","Mailun Khola Hydropower Company Pvt. Ltd","0","85.20458333","28.07541667","Operation"
"Makari gad","Province 7","DARCHULA","Apihimal","10.0","Makari gad","170","5/27/2073","5/26/2108","Makarigad Hydropower Pvt. Ltd","Panipokhari, Kathmandu, Phone no 4442048, 4414714, email : makarigad@gmail.com","80.85875","29.79125","Generation"
"Malta Bagmati Small Hydro Power Project","Province 3","LALITPUR","Konjyosom","8.85","Bagmati","833","2/21/2074","2/20/2076","Bagmati Water Energy Pvt. Ltd.","Banasthali, Kathmandu-16, Kathmandu","85.2525","27.48236111","Survey"
"Manahari Khola HEP","Province 3","MAKAWANPUR","Thaha","9.258","Manhari","953","8/11/2074","8/10/2076","Sabita Godar Thapa","Samakhusi, Kathmandu","84.90138889","27.57375","Survey"
"Mardi Khola","Province 4","KASKI","Machhapuchchhre","4.8","Mardi","21","10/8/2063","10/7/2098","Gandaki Hydropower Development Co. P. Ltd","0","83.88680556","28.345","Operation"
"Marshyangdi-7 Hydropower Project","Province 4","MANANG","Narphu","54.0","Marsyangdi","887","5/9/2074","5/8/2076","Himal Energy Venture Pvt. Ltd.","Kathmandu-10","84.21722222","28.57416667","Survey"
"Marsyangdi","Province 4","GORKHA","Gorkha","69.0","Marsyangdi","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","84.48638889","27.91083333","Operation"
"Marsyangdi Besi","Province 4","LAMJUNG","Besishahar","50.0","Marsyangdi","206","6/1/2074","5/31/2109","Divyajyoti Hydropower Pvt. Ltd.","Bagdol Lalitpur, P.O.Box 23311, Phone no 5552175","84.38263889","28.23333333","Generation"
"Masina HPP","Province 4","KASKI","Pokhara Lekhnath","0.8","Kotre Khola","0","10/21/2073","10/20/2075","Masina Tourism Cooperative Ltd.","Lekhnath-13, Tallo Gagangauda.Kaski. 61531599,","84.08986111","28.09597222","Survey"
"Mathillo Langtang HEP","Province 3","RASUWA","Gosaikunda","24.35","Langtang","973","9/21/2074","9/20/2076","Yeti Langtang Energy Pvt. Ltd","Yeti Building, Tilganga Ringroad, Kathmandu","85.53638889","28.20819444","Survey"
"Maya Khola Hydropower Project","Province 1","SANKHUWASABHA","Chainpur","14.9","Maya","123","2/26/2071","2/25/2106","Maya Khola Hydropower Company pvt Ltd","126 Milap Marg, Bisalnagar, Kathmandu, Nepal. P.O.Box: 8975, EPC: 5602, Tel: 4417947, Fax; 977-1-4433610","87.34152778","27.24513889","Generation"
"Menchet Khola HPP","Province 3","DHADING","Rubi Valley","7.0","Menchet Khola","753","8/3/2073","8/2/2075","Ruby Valley Hydropower Com.Ltd.","Kathmandu-11, Babarmahal, 4222934","85.09472222","28.18930556","Survey"
"Mewa khola HPP","Province 1","TAPLEJUNG","Mikwakhola","23.0","Mewa Khola","782","10/18/2073","10/17/2075","Union Mewa hydro ltd","Lalitpur 3 Dhobighat, 5525406,","87.60194444","27.57208333","Survey"
"Mewa Khola Hydropower project","Province 1","TAPLEJUNG","Phungling","50.0","Mewa Khola","201","4/15/2074","4/14/2109","United Mewa Khola Hydropower Pvt Ltd","Anamnagar, Kathmandu, Tel: 4770245, Fax: 4771109","87.61597222","27.425","Generation"
"Mid Rawa Khola HEP","Province 1","KHOTANG","Ainselukhark","2.5","Rawa Khola","842","2/26/2074","2/26/2076","Rawa Energy Development Pvt. Ltd.","Ghattekulo, Kathmandu, 9851096066","86.82902778","27.34555556","Survey"
"Mid Solu Khola Hydropower Project","Province 1","SOLUKHUMBU","Solududhakunda","9.5","Solu Khola","871","4/6/2074","4/5/2076","Er. Rajendra Prasad Gautam","Baneshwor-10, Baburam Acharaya Sadak 1757/70, Kathmandu Mo. 9751000158","86.57569444","27.50416667","Survey"
"Middle Budhiganga Hydropower Project","Province 7","BAJURA","Budhiganga","5.0","Budhi Ganga","719","2/5/2073","2/4/2076","Reliable Hydropower Company Pvt.Ltd.","Kathmandu-31,Heritage Plaza c,d,Kamaladi.4169116","81.30625","29.32569444","Survey"
"Middle Chaku Khola","Province 3","SINDHUPALCHOK","Bhotekoshi","1.8","Chaku","44","12/7/2067","12/6/2102","Laughing Budha Power Nepal","GPO Box: 4619 , Katmandu","85.93125","27.87638889","Operation"
"Middle Chameliya HPP","Province 7","DARCHULA","Marma","13.0","Chameliya Khola","920","6/29/2074","6/28/2076","Ram Hari Bajgain, Tek Praad Chaulagain and Gyani Regmi,","Phone no 9851092614, 9851023270,","80.76027778","29.74180556","Survey"
"Middle Daram Khola-A HPP","Province 4","MYAGDI","Mangala","3.0","Daram","230","2/9/2075","2/8/2110","Dhaulagiri Cem Engineering Pvt Ltd","Baglung","83.42388889","28.27194444","Generation"
"Middle Daram Khola-B HPP","Province 4","BAGLUNG","Kanthekhola","4.5","Daram","231","2/9/2075","2/8/2110","Dhaulagiri CEM Engineering Pvt. Ltd.","Baglung-11, Mobile 9745025919","83.42388889","28.24986111","Generation"
"Middle Hongu Khola B HPP","Province 1","SOLUKHUMBU","Mahakulung","22.9","Hongu Khola","830","2/16/2074","2/15/2076","Gaurishankar Power Development Pvt. Ltd","Kathmandu-34, Baneshwor, Phone 4992910, 9851133303","86.83333333","27.5","Survey"
"Middle Hongukhola A Hydropower Project","Province 1","KHOTANG","Sakela","22.0","Hongu Khola","844","2/26/2074","2/25/2076","Apex Makalu Hydropower Pvt. Ltd.","Kathmandu 34, Baneshor. Kedar Nath Paudel, Mob: 9851073799","86.87736111","27.52486111","Survey"
"MIddle Ingwa Khola Hydropower Project","Province 1","TAPLEJUNG","Sidingba","15.0","Iwa Khola","861","3/22/2074","3/21/2076","Gopal Mainali","Budhabaare-8, Jhapa, Temporary Add. Birtamod-06,Jhapa Ph. No. 01-5156167, Mo. 98626080377","87.94958333","27.29208333","Survey"
"Middle Kaligandaki","Province 4","MUSTANG","Thasang","53.539","Kali Gandaki","670","7/15/2070","7/14/2075","Hydro Support Pvt. Ltd.","IME Complex, Panipokhari, Kathmandu. PO Box: 19797, Kathmandu. Phone: 014430600, Fax: 014425800","83.65","28.50138889","Survey"
"Middle Mailung Hydropower Project","Province 3","RASUWA","Gosaikunda","10.0","Mailung Khola","783","10/18/2073","10/17/2075","Mailung Khola Hydropower Company Pvt. Ltd","POBox. 7148, 539/61 Subarna Shamsher Marg, Bluwatar; Tel. 2001348,4432372","85.20069444","28.09111111","Survey"
"Middle Mewa HPP","Province 1","TAPLEJUNG","Mikwakhola","49.0","Mewa Khola","776","9/5/2073","9/4/2075","Mewa Developers Pvt. LTd","Tripurewhower , Kathmandu-11. 4243120","87.62291667","27.47791667","Survey"
"Middle Midim","Province 4","LAMJUNG","Besishahar","3.1","Midim Khola","100","4/10/2070","4/9/2105","Madhya Midim Jalvidhyut Company Pvt. Ltd.","Dhapasi-7, Tirlingtar, Kathmandu, Phone 01-4386514","84.27402778","28.22027778","Generation"
"Middle Modi","Province 4","KASKI","Annapurna","15.1","Modi Khola","93","3/7/2070","3/6/2105","Middle Modi Hydropower Limited","P.O.Box: 12268, Nepal. Ph:4038030, Fax:4038026","83.76777778","28.29847222","Generation"
"Middle Molung Khola Small HEP","Province 1","OKHALDHUNGA","Molung","4.839","Molung","1023","3/21/2075","3/20/2077","Suvarambha Hydropower(Pvt.) ltd.","Ka. Ma. Na. Pa 7 Chabahil, Kathmandu, 9851074916,9851093507","86.44444444","27.29472222","Survey"
"Middle Sunkoshi","Province 3","SINDHUPALCHOK","Bhotekoshi","3.4","Sun Koshi","189","12/13/2073","12/12/2108","Lama Hydropower Pvt. Ltd.","P.O.Box 8965 EPC 5518 Kathmandu, Phone 01-4429399","85.94861111","27.78458333","Generation"
"Middle Tadi HPP","Province 3","NUWAKOT","Langtang National Park","5.5","Tadi Khola","946","7/30/2074","7/29/2075","Dupcheshwor Mahadev Hydro Company Pvt. Ltd.","Kathmandu, Phone 9851066168","85.40888889","27.96166667","Survey"
"Middle Tamor","Province 1","TAPLEJUNG","Phaktanglung","54.0","Tamor","198","2/22/2074","2/21/2109","Sanima Middle Tamor Hydropower Ltd","Dhumbarahi, Kathmandu, Phone no 437228/437030, email: sanima@sanimahydro.com","87.68902778","27.40666667","Generation"
"Middle Tara Khola SHP","Province 4","MYAGDI","Beni","1.7","Tara Khola","190","12/13/2073","12/12/2108","Pahadi Hydropower Company Pvt. Ltd.","Baglung-2, Phone No. : 068-520221, 9747628615","83.39361111","28.32430556","Generation"
"Midim 1 HEP","Province 4","LAMJUNG","Kwholasothar","16.0","Midim Khola","824","2/10/2074","2/9/2076","Mount Rasuwa Upper Mailung Hydropower Pvt. Ltd.","Tokha 10 Kathmandu, 9851187281","84.275","28.26736111","Survey"
"Midim Khola","Province 4","LAMJUNG","Marsyangdi","3.0","Midim Khola","68","5/6/2069","5/5/2104","Union Hydropower P.Ltd","P.O.B. No: 12637, Ph: 01-5543850","84.285","28.19069444","Operation"
"Midim Khola Micro Hydro","Province 4","LAMJUNG","Sundarbazar","0.1","Midim Khola","0","4/14/2069","0/1/0","Deurali Bahu-uddesyiaya Sahakari Sanstha Limited","Ishaneshwor-9, Karaputar, Lamjung","84.24152778","28.16347222","Generation"
"Mistri khola 2 HEP","Province 4","KASKI","Annapurna","12.0","Mistri","883","4/29/2074","4/28/2076","Mountain energy Nepal ltd","Pani pokhari ,KTM, 4437705, 4441648","83.65527778","28.49458333","Survey"
"Miwaje Khola HEP","Province 4","KASKI","Madi","4.95","Miwaje","909","6/1/2074","5/30/2076","Ma Durga Kali HYdropower Company Pvt. Ltd","Kupondole Lailtpur, 01-5520254, 5012027, fax: 01-5012066","84.00763889","28.41472222","Survey"
"Modi Khola","Province 4","KASKI","Machhapuchchhre","14.8","Modi Khola","3","10/24/2052","11/30/2101","Nepal Electricity Authority","0","83.74611111","28.27875","Operation"
"Molun Khola SHP","Province 1","OKHALDHUNGA","Siddhicharan","7.0","Molun","127","6/2/2071","6/1/2106","Molun Hydropower Co. Pvt. Ltd","Rabibhawan Kathmandu, P.O.Box 5813, Phone 01-4278130, Fax 01-4280799","86.43347222","27.34444444","Operation"
"Molung Cascade HEP","Province 1","OKHALDHUNGA","Siddhicharan","3.5","Molung","1016","2/28/2075","2/27/2077","Anak Hydropower Co. Pvt. Ltd","Rabibhawan, Kathmandu, 01-4670518","86.435","27.32597222","Survey"
"Mristi Khola","Province 4","MYAGDI","Annapurna","42.0","Mristi","53","7/20/2068","7/19/2103","Robust Energy Ltd.","Thamel, Kathmandu-29, Nepal POB 3839, Phone:203334, Fax:4499898","83.66555556","28.51902778","Generation"
"Mudi Khola Hydropower Project","Province 4","MYAGDI","Dhaulagiri","14.7","Mudi Khola","870","4/6/2074","4/5/2076","Everest Energy and Infrastructure Fund Pvt. Ltd.","Charkhal Road, Dillibazar, Kathmandu-33","83.3425","28.54430556","Survey"
"Mugu Karnali HPP","Province 6","HUMLA","Adanchuli","159.62","Mugu Karnali","951","8/7/2074","8/6/2076","Butwal Power Company Limited","Ganga Devi Marg 313, Buddha Nagar, New Baneshwar, Post Box. 11728 Ktm, Nepal, Ph. No. 4781776,4784026, Fax. 4780994","81.98444444","29.60222222","Survey"
"Mugu Karnali Storage HEP","Province 7","BAJURA","Budhinanda","1902.0","Karnali","1020","3/15/2075","3/14/2077","Vidhyut Utpadan Company Limited","Buddhanagar, Kathmandu 01-4788680","81.80375","29.54236111","Survey"
"Myagdi Khola A HEP","Province 4","MYAGDI","Dhaulagiri","23.7","Myagdi","971","9/19/2074","9/18/2076","Dordi Khola Jalvidyut Company Limited","Blue Star Complex, Tripureshwar, Kathmandu, Ph. No. 01-4232748","83.41430556","28.66","Survey"
"Myagdi Khola Hydropower Project","Province 4","MYAGDI","Raghuganga","57.3","Myagdi Khola","694","10/4/2071","10/3/2075","Hydro Village Pvt. Ltd.","Lalitpur-22,Jwagal.POBox 4256. 9851050406,9843063534 shshil@sushmitgroup.com,sushil.hyvillage@gmail.com","83.39027778","28.60097222","Survey"
"Myagdi Khola- B HEP","Province 4","MYAGDI","Dhaulagiri","9.5","Myagdi Khola","934","7/21/2074","7/20/2076","Sushmit Energy Pvt. Ltd","Kathmandu 01-4482329","83.3875","28.56375","Survey"
"Nalsyau Gad Storage HEP","Province 6","JAJARKOT","Tribeni Nalagad","410.0","Nalsyau","962","8/26/2074","8/25/2076","Nalgad Hydropower Company Limited","Kathmandu-10, New Baneshwor, Thapagaun, 4475221, 4469580","82.28333333","28.87791667","Survey"
"Namarjun Madi","Province 4","KASKI","Madi","12.0","Madi Khola","78","9/11/2069","9/10/2104","Himalayan Hydropower Pvt.Ltd","P.O. Box No.: 20225, Lazimpat, Kathmandu, Phone: 01-4441216, Fax: 01-4441217","84.09277778","28.30777778","Generation"
"Namche Khola Mini HPP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","0.183","Namche Khola","0","2/2/2074","2/1/2076","Khumbu Bijuli Company Pvt. Ltd.","Thamo, Solukhumu. Sonam Dorgee Sherpa Ph No. 01-6923781","86.71125","27.80027778","Survey"
"Nar Khola Hydro-Electric Project","Province 4","MANANG","Nashong","50.0","Nar Khola","897","5/25/2074","5/24/2076","Rajendra Das Shrestha","Narayanchaur Naxal-01, Kathmnadu, 9851023781","84.24361111","28.59277778","Survey"
"Nau Gad Khola","Province 7","DARCHULA","Shailyashikhar","8.5","Naugad","65","3/31/2069","3/30/2104","Api Power Company Pvt. Ltd","Dillibajar Kathmandu,Phone 4417136,4433252 Fax 4421114","80.60736111","29.70319444","Operation"
"Naugad HPP","Province 7","DARCHULA","Naugad","9.5","Naugad","877","4/17/2074","4/16/2076","Naugad Hydropower PVt. Ltd","Naxal, Kathmandu,","80.65833333","29.78902778","Survey"
"Nilgiri Khola","Province 4","MUSTANG","Thasang","38.0","Nilgiri","202","0/1/0","4/30/2109","Nilgiri Khola Hydropower Company Pvt. Ltd.","Panipokhari, Kathmandu, Phone: 4437705, 4441648","83.69166667","28.58847222","Generation"
"NImrung Khola HEP","Province 4","GORKHA","Dharche","9.8","Nimrung","926","7/12/2074","7/11/2076","Kiran Power Company Pvt. Ltd.","Kaldhara-16, Kathmandu","84.86861111","28.26138889","Survey"
"Nisi Khola HEP","Province 4","BAGLUNG","Dhorpatan","8.8","Nisi","979","10/22/2074","10/21/2076","Shri Ram Neupane, Chandra Bahadur Thapa, Tanka Gaire","Shri Ram Neupane 9851163167","83.09291667","28.35430556","Survey"
"Nupche Likhu HEP","Province 3","RAMECHHAP","Umakunda","57.5","Nupche , Likhu","826","2/12/2074","2/11/2076","Vision Energy and Power Pvt. Ltd.","New Baneshwor, Kathmandu","86.475","27.70194444","Survey"
"Nwa Gad","Province 7","DARCHULA","Marma","1.0","Nwa Gad","0","10/8/2074","0/1/0","Jal Urja Pvt. ltd","Devkota Marga 426/20, New Baneshwor, Kathmandu, Phone no 4104490","80.81041667","29.73944444","Generation"
"Nyache Khola Hydropower Project","Province 4","KASKI","Madi","8.76","Nyache Khola","840","2/24/2074","2/23/2076","Surya Water Pvt. Ltd.","Kathmandu -1, House No. 271 Narayan Chaur Naxal Marg,Situ Plaza,Naxal, Kathmandu","84.15944444","28.38638889","Survey"
"Nyadi Khola","Province 4","LAMJUNG","Marsyangdi","30.0","Nyadi","83","11/3/2069","11/2/2104","Nyadi Hydropower Limited","P.O.Box. 11728, Kathmandu, Phone 01-4781776, 4784026, Fax 01-4780994","84.44513889","28.33708333","Generation"
"Nyam Nyam","Province 3","RASUWA","Uttargaya","6.0","Nyam Nyam Khola","217","9/28/2074","9/27/2109","Nyam Nyam HydroPower Company Pvt.Ltd.","Sanepa, Phone no 5184273, 5184173, email nyamnyamkshp@gmail.com","85.19791667","28.07847222","Generation"
"Nyasim Hydropower Project","Province 3","SINDHUPALCHOK","Jugal","35.0","Nyasem Khola","802","1/8/2074","1/7/2076","Sita Hydropower Company Pvt. Ltd.","Kalimati, Kathmandu-13, Sitaram Timalsina 9851194065, 01-4272426, 4274937","85.80833333","27.975","Survey"
"Padam Khola SHP","Province 6","DAILEKH","Naumule","4.8","Padam Khola","207","6/29/2074","6/28/2109","Dolti Power Company P. Ltd","Baneshwor, Kathmandu, Phone no 4105021, 97510001589, 9851003846, emai: info@doltipower.com.np","81.83902778","28.90861111","Generation"
"Palun khola 1 Hydropower Project","Province 1","TAPLEJUNG","Phaktanglung","4.95","Palun Khola","893","5/16/2074","5/15/2076","Trust Energy Pvt. Ltd.","Kathmandu 3, Maharajgunj, Phonw no 4410001, 9851110896","87.64138889","27.58152778","Survey"
"Palun khola small Hydropower Project","Province 1","TAPLEJUNG","Mikwakhola","21.0","Palun Khola","908","6/1/2074","5/30/2076","Palunkhola Hydropower Pvt. Ltd.","Devkota Sadak, Old Baneshor, Kathmandu -10 Ph:","87.6325","27.55458333","Survey"
"Panauti","Province 3","KABHREPALANCHOK","Panauti","2.4","Roshi","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","85.52430556","27.56958333","Operation"
"Parajuli Khola-1","Province 6","DAILEKH","Dungeshwor","2.15","Parajuli Khola","102","5/3/2070","5/2/2105","Rara Hydropower Development Co.","Sitapaila - 2, kathmandu, Ph: 01-4033016, 9841209736","81.7075","28.70736111","Generation"
"Pegu Khola Small Hydropower Project","Province 3","DOLAKHA","Bigu","4.35","Pegu","709","9/3/2072","9/2/2075","BiguHydropower Venture","Kathmandu, GPOBox 8643, PN/FX No 014472349","86.06958333","27.83055556","Survey"
"Phalakhu Khola HPP","Province 3","RASUWA","Naukunda","5.0","Phalankhu Khola","161","3/24/2073","3/23/2108","Rasuwa Hydropower Company Pvt Ltd","GPO Box: 8003, Kathmandu,Tel; 4880041","85.26194444","27.98597222","Generation"
"Phalakhu Khola HPP","Province 3","RASUWA","Naukunda","14.7","Phalankhu Khola","162","4/10/2073","4/9/2108","Betrawati Hydroelectric Co. Ltd","Thulo Bharyang, Kathmandu-15, Phone no 4002566, P.O. Box no 8003","85.29305556","28.02013889","Generation"
"Phawa khola Hydropower Project","Province 1","TAPLEJUNG","Sirijangha","5.0","Phawa Khola","39","6/19/2067","6/18/2102","Shiwani Hydropower Company","Baneshwor, Kathamandu - 10, Ph. 4466405, Fax: 4460137","87.76513889","27.29722222","Operation"
"Phedi Khola (Thumlung) Small HPP","Province 1","BHOJPUR","Shadananda","3.52","Phedi khola (Thumlung)","800","12/21/2073","12/20/2075","Phedi khola Hydropower Company Pvt. Ltd.","Koteshor 35, Ktm. , Prakash Chandra Dulal. Mob No. 9851221372","87.01680556","27.37680556","Survey"
"Phewa","Province 4","KASKI","Madi","1.0","Seti Khola","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","83.97708333","28.18819444","Operation"
"Phukot Karnali","Province 6","KALIKOT","Raskot","426.0","Karnali","848","3/2/2074","3/1/2076","Vidhyut Utpadan Company Limited","Buddhanagar, Kathmandu 01-4788680","81.67055556","29.23819444","Survey"
"Pikhuwa Khola","Province 1","BHOJPUR","Bhojpur","5.0","Pikhuwa","45","12/7/2067","12/6/2102","Eastern Hydropower P Ltd","Kathmandu, Phone 01-4495459","87.02277778","27.15986111","Generation"
"Pikhuwa Pashupati HEP","Province 1","BHOJPUR","Tyamkemaiyung","3.28","Pikhuwa","880","4/15/2074","4/14/2076","Sumnima Hydropower Company Pvt. Ltd.","Hulak Yol Marga Kathmandu-14, Dhan Raj Rai 9851097087, Sashi Sharma BHandari -9851140280","86.99166667","27.21319444","Survey"
"Piluwa Khola","Province 1","SANKHUWASABHA","Chainpur","3.0","Piluwa Khola","9","5/5/2057","0/1/0","Arun Valley Hydropower Development Company Pvt. Ltd.","0","87.33763889","27.27361111","Operation"
"Puwa","Province 1","ILAM","Illam","6.2","Puwa","2","5/27/2052","11/30/2101","Nepal Electricity Authority","0","87.91611111","26.89416667","Operation"
"Puwa Khola-1","Province 1","ILAM","Maijogmai","4.0","Puwa","106","6/21/2070","6/20/2105","Puwa Khola - 1 Hydropower Pvt. Ltd","PO Bpx 20762 Baluwatar Nepal. Ph: 4410057, 9851129708","87.90638889","26.93333333","Operation"
